Nama Satuan Pendidikan,NPSN,Bentuk Pendidikan,Status Sekolah,Alamat,Desa,Kecamatan,Lintang,Bujur,PD_L,PD_P,PD_Total,Guru,Tendik
SPS TUNAS BANGSA,69891562,SPS,Swasta,KP.CANGKUANG RT 04 RW 02,Karanganyar,Cililin,-6.935100000000,107.389400000000,25,41,66,4,1
SPS TUNAS BUNISARI,69836293,SPS,Swasta,JL.BUNISARI RT.05 RW.05,Gadobangkong,Ngamprah,-6.871360000000,107.514285000000,23,26,49,2,1
SPS TUNAS HARAPAN,69891557,SPS,Swasta,Jl. Cikadu RT. 04/011,Cikadu,Sindangkerta,-7.015954200000,107.440208500000,21,16,37,2,2
SPS TUNAS HARAPAN II,69920415,SPS,Swasta,Kp. Padasuka RT.04 RW.05,Cibedug,Rongga,-6.978778400000,107.258533800000,23,26,49,6,1
SPS TUNAS INSANI,70052893,SPS,Swasta,Kp. Kadupugur RT.03 RW.11,Ganjarsari,Cikalongwetan,.000000000000,.000000000000,8,6,14,1,0
SPS TUNAS MANDIRI,69836278,SPS,Swasta,Jl. GA Manulang,Padalarang,Padalarang,-6.801617600000,107.465532900000,8,12,20,4,1
SPS TUNAS MEKAR,69836402,SPS,Swasta,"GUDANG, RT. 04 / 04",Ciptagumati,Cikalongwetan,-6.765759800000,107.522039600000,25,14,39,1,1
SPS Tunas Uar,69891560,SPS,Swasta,Kp. Cipadawaras,Pasirpogor,Sindangkerta,-6.980700000000,107.394000000000,23,17,40,3,1
SPS WILADATUL BINA,69836209,SPS,Swasta,KP. PANGKALAN RT02/05,Girimukti,Cipongkor,-6.946814800000,107.388655700000,15,16,31,3,1
SUMUR BANDUNG,69835857,KB,Swasta,JL. RAYA CILILIN,Cililin,Cililin,-6.939713400000,107.471613300000,0,0,0,null,null
TAAM AL IKHLAS,69975415,SPS,Swasta,Kp. Seketando Rt 02/14 Ds. Cangkorah,Cangkorah,Batujajar,-6.893958100000,107.484165700000,25,13,38,3,1
TAAM AL IKHLAS,69975423,SPS,Swasta,Kp. Cikawung 03/08 Ds. Sukamulya,Sukamulya,Cipongkor,-6.890132500000,107.342096100000,22,14,36,2,1
TAAM AL IKHWAN,69836298,SPS,Swasta,JL. HAJI GOPUR,Tanimulya,Ngamprah,-6.853209000000,107.525790000000,19,21,40,1,1
TAAM AL ISTIQOMAH,69974643,SPS,Swasta,Kp. Babakan,Cijambu,Cipongkor,-6.930953302767,107.331780195236,20,14,34,3,1
